program,version_label,academic_year,level,semester,module_code,module_title,row_type,subject_or_department,credits,weeks,marks,total_hours,source_id,source_url,access_date,confidence,notes
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 4","MED 206","CNS & Special Senses (1)","subject_component","Physiology","4.5","","67.5","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 4","MED 207","CNS & Special Senses (2)","subject_component","Histology","1","","15","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 4","MED 207","CNS & Special Senses (2)","subject_component","Physiology","1","","15","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 4","MED 207","CNS & Special Senses (2)","subject_component","Pathology","1","","15","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 4","MED 207","CNS & Special Senses (2)","subject_component","Pharmacology","2","","30","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 4","MED 207","CNS & Special Senses (2)","subject_component","Parasitology","1","","15","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 4","MED 208","Basic clinical Skills 2","subject_component","Medical","4","","60","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","medium","Subject label appears as Medical in OCR"
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 3","Semester 5","MED 301","Genitourinary","subject_component","Anatomy","3","","45","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 3","Semester 5","MED 301","Genitourinary","subject_component","Histology","2","","30","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 3","Semester 5","MED 301","Genitourinary","subject_component","Physiology","2.5","","37.5","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 3","Semester 5","MED 301","Genitourinary","subject_component","Pathology","2","","30","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 3","Semester 5","MED 301","Genitourinary","subject_component","Microbiology","1","","15","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 3","Semester 5","MED 302","Endocrine","subject_component","Histology","1","","15","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 3","Semester 5","MED 302","Endocrine","subject_component","Physiology","2.3","","34.5","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 3","Semester 5","MED 302","Endocrine","subject_component","Biochemistry","1.8","","27","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 3","Semester 5","MED 302","Endocrine","subject_component","Pathology","1","","15","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 3","Semester 5","MED 302","Endocrine","subject_component","Pharmacology","1.4","","21","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 3","Semester 5","MED303","Community","subject_component","Community","6","","90","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 3","Semester 5","MED 304","Research","subject_component","Community","3","","45","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 3","Semester 5","MED 305","Basic clinical Skills 3","subject_component","Surgery","4","","60","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","medium","Conflicts with S1 where MED305 is vertical integration 5 and MED306 is Clinical skills"
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 3","Semester 6","MED 307","Child health module","subject_component","Pediatrics","13.5","","270","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 3","Semester 6","MED 307","Child health module","subject_component","Family Medicine","3","","60","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 3","Semester 6","MED 308","Ophthalmology","subject_component","Ophthalmology","7.5","","150","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 3","Semester 6","Med 309","Leadership and presentation skills","subject_component","","","","20","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","low","Source component subject is not visible in extracted text"
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 3","Semester 6","Med 310","Basic life support","subject_component","Cardiology","2.5","","50","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 4","Semester 7","MED 401","Medicine 1","subject_component","Medicine","18","","360","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 4","Semester 7","MED 401","Medicine 1","subject_component","Oncology","1.5","","30","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 4","Semester 7","Med 402","Farensic / Forensic and Clinical Toxicology","subject_component","Forensic and Clinical Toxicology","7.5","","150","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 4","Semester 7","Mmed 403","Patient safety","subject_component","Community","1","","20","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","medium","Source spelling Mmed retained"
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 4","Semester 8","MED 404","Obstetrics and gynecology","subject_component","Obstetrics and gynecology","15","","300","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 4","Semester 8","MED 405","Medicine 2","subject_component","Chest","3","","60","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 4","Semester 8","MED 405","Medicine 2","subject_component","Cardiology","3","","60","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 4","Semester 8","MED 405","Medicine 2","subject_component","Tropical","3","","60","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 4","Semester 8","MED 405","Medicine 2","subject_component","Clinical pathology","3","","60","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 4","Semester 8","Med 406","Ethical and legal issues","subject_component","Forensic","2","","40","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 4","Semester 8","Med 407","Doctor patient communication","subject_component","Family Medicine","1","","20","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","medium","Source spells Family Medicne"
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 5","Semester 9","MED501","Surgery1","subject_component","Surgery","18","","360","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high","Source spells Syrgery"
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 5","Semester 9","MED502","Surgery2","subject_component","Orthopedics","4.5","","90","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 5","Semester 9","MED502","Surgery2","subject_component","Urosurgery","4.5","","90","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 5","Semester 9","MED502","Surgery2","subject_component","Neurosurgery","1.5","","30","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 5","Semester 9","MED502","Surgery2","subject_component","Cardiothoracic Surgery","1.5","","30","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 5","Semester 9","Med 503","Field training","subject_component","Field training","1","","20","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","medium","S1 calls MED503 vertical integration 9"
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 5","Semester 9","Med 504","Research project","subject_component","Community","2","","40","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 5","Semester 10","Med 505","Medicine 3","subject_component","Neurology","6","","120","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 5","Semester 10","Med 505","Medicine 3","subject_component","Rheumatology","1.5","","30","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 5","Semester 10","Med 505","Medicine 3","subject_component","Dermatology","3","","60","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 5","Semester 10","Med 505","Medicine 3","subject_component","Radiology","1.5","","30","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 5","Semester 10","MED 506","Family Medicine","subject_component","Family Medicine","6","","120","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 5","Semester 10","MED 507","Emergency","subject_component","Anaesthesia and Surgical Intensive Care","3","","60","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 5","Semester 10","MED 507","Emergency","subject_component","Surgery","3","","60","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high","Source spells Syrgery"
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 5","Semester 10","MED 508","ENT","subject_component","ENT","6","","120","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 5","Semester 10","MED 509","Research Project","subject_component","Community","2","","40","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 5","Semester 10","Med 510","Evidence","subject_component","Medicine","1","","20","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","medium","Conflicts with S1 where vertical integration 10 is printed as MED 501"
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 1","Semester I","INTRO-ANAT/EMB/HIST 1101","Foundation: Anatomy embryology and histology","module","Anatomy Embryology Histology","5.5","4","137.5","99","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high","total_hours follows source A/activity column"
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 1","Semester I","INTRO-PHYS/BIO 1102","Foundation: Physiology and Biochemistry","module","Physiology Biochemistry","2.5","2","62.5","45","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 1","Semester I","INTRO-PATH/PHAR 1103","Foundation: Pathology and pharmacology","module","Pathology Pharmacology","6.5","6","162.5","117","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 1","Semester I","INTRO-PARA/MICRO1104","Foundation: Parasitology and microbiology","module","Parasitology Microbiology","4.5","4","112.5","81","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 1","Semester I","UN 01","Introduction to quality and accreditation in higher education","module","","1","longitudinal","25","","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high","Not included in semester marks per source note"
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 1","Semester I","ELE","Elective Modules","module","","1","longitudinal","25","","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high","Not included in semester marks per source note"
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 1","Semester I","","Integrated longitudinal Modules","module","","0.5","longitudinal","12.5","","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high","Not included in semester marks per source note"
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 1","Semester I","","Semester total","semester_total","","21.5","16","475","342","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 1","Semester II","MSI 1201","Musculoskeletal (1)","module","","5","6","125","90","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 1","Semester II","MSII 1202","Musculoskeletal (2)","module","","4","4","100","72","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 1","Semester II","PL/LYM 1203","Blood & Lymphatics","module","","7","6","175","126","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 1","Semester II","PC1204","Medical Professionalism and communication skills","module","","1","longitudinal","25","","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 1","Semester II","ELE","Elective Module","module","","1","longitudinal","25","","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 1","Semester II","UN 02","Human ethics","module","","1","longitudinal","25","","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 1","Semester II","","Integrated longitudinal Modules","module","","0.5","longitudinal","12.5","","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 1","Semester II","","Semester total","semester_total","","19.5","16","425","297","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 2","Semester III","CVS 2101","Cardiovascular system","module","","9.5","8","237.5","171","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 2","Semester III","RES 2102","Respiratory system","module","","6","6","150","108","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 2","Semester III","NUT 2103","Nutrition","module","","2.5","2","62.5","45","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 2","Semester III","EBM/BMR/B 2104","Evidence-based medicine Basics of medical research and biostatistics","module","","2","longitudinal","50","","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 2","Semester III","ELE","Elective Modules","module","","1","longitudinal","25","","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 2","Semester III","","Integrated longitudinal Modules","module","","0.5","longitudinal","12.5","","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 2","Semester III","","Semester total","semester_total","","21.5","16","500","324","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 2","Semester IV","GIT 2201","Gastrointestinal system","module","","8","7","200","144","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 2","Semester IV","URIN 2202","Renal & Urinary system","module","","5","4","125","90","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 2","Semester IV","REP/BR 2203","Reproductive system & Breast","module","","6","5","150","108","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 2","Semester IV","ELE","Elective Modules","module","","1","longitudinal","25","","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 2","Semester IV","","Integrated longitudinal Modules","module","","0.5","longitudinal","12.5","","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 2","Semester IV","","Semester total","semester_total","","20.5","16","475","342","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 3","Semester V","ENDO 3101","Endocrine","module","","6","5","150","108","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 3","Semester V","CNS/SP I 3102","CNS & Special Senses (1)","module","","5","5","125","90","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 3","Semester V","CNS/SP II 3103","CNS & Special Senses (2)","module","","5","6","125","90","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 3","Semester V","BLS 3104","Basic life support","module","","1","longitudinal","25","","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 3","Semester V","ELE","Elective Modules","module","","1","longitudinal","25","","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 3","Semester V","","Integrated longitudinal Modules","module","","0.5","longitudinal","12.5","","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 3","Semester V","","Semester total","semester_total","","18.5","16","425","288","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","medium","Detailed table total 425; overview table appears to imply 525 through first-stage total arithmetic"
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 3","Semester VI","BME 3201","Basic clinical examination","module","","2.5","2","62.5","45","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 3","Semester VI","DERMA 3202","Dermatology","module","","2","2","50","36","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 3","Semester VI","COM 3203","Community Medicine","module","","5","5","125","90","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 3","Semester VI","PHC/ELD 3204","Primary health care and elderly care","module","","2.5","2","62.5","45","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 3","Semester VI","CHLD 3205","Child Health","module","","2.5","2","62.5","45","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 3","Semester VI","INVEST 3206","Investigations","module","","2.5","2","62.5","45","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 3","Semester VI","ONCO 3207","Onchology","module","","1","1","25","18","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high","Source spelling retained"
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 3","Semester VI","PSYCH 3208","Clinical Psychology","module","","1","longitudinal","25","18","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 3","Semester VI","ELE","Elective Modules","module","","1","longitudinal","25","","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 3","Semester VI","","Integrated longitudinal Modules","module","","0.5","longitudinal","12.5","","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 3","Semester VI","","Semester total","semester_total","","20.5","16","475","342","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 4","Semester VII","CVS/CHEST 4101","Heart and chest diseases","module","","7","6","175","126","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 4","Semester VII","ENDO/BR 4102","Endocrinology and Breast","module","","4.5","4","112.5","81","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 4","Semester VII","HEMA 4103","Hematology and lymphatics","module","","2.5","2","62.5","45","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
"Distinguished 5+2 credit-hour program","5+2 scientific content document; program title page says Bachelor degree 2018-2019","2018-2019","Level 4","Semester VII","GYN 4104","Gynecology","module","","5","4","125","90","S4","https://mu.menofia.edu.eg/med/INTMED/View/190277/ar","2026-08-26","high",""
